Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3977       5213       0          3016       1.31
structure_refs      2689       467        0          2          0.17
biomes              2689       7764       0          713        2.89
terrain             2688       3671       0          69         1.37
surface             2688       1530       0          59         0.57
air_carvers         2690       14805      3          243        5.50
fluid_carvers       2691       47         0          0          0.02
decoration          2434       182359     27         357        74.92
mob_spawns          2179       115        0          10         0.05
structure_searches  0          0          0          0          0.00
Sum                                                             86.80
