Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    6679       5333       0          2782       0.80
structure_refs      3205       510        0          4          0.16
biomes              3205       4992       0          478        1.56
terrain             3205       4724       0          39         1.47
surface             3205       2614       0          40         0.82
air_carvers         3203       19894      2          90         6.21
fluid_carvers       3202       63         0          0          0.02
decoration          2821       266075     25         335        94.32
mob_spawns          2456       166        0          15         0.07
structure_searches  0          0          0          0          0.00
Sum                                                             105.42
