Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    5994       3917       0          2454       0.65
structure_refs      3105       576        0          4          0.19
biomes              3105       8851       0          390        2.85
terrain             3105       4944       0          16         1.59
surface             3104       1976       0          9          0.64
air_carvers         3104       19829      2          156        6.39
fluid_carvers       3104       39         0          0          0.01
decoration          2817       276143     12         359        98.03
mob_spawns          2542       108        0          11         0.04
structure_searches  0          0          0          0          0.00
Sum                                                             110.39
