Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1849       3312       0          2857       1.79
structure_refs      729        188        0          21         0.26
biomes              729        169        0          122        0.23
terrain             729        1205       0          48         1.65
surface             729        539        0          50         0.74
air_carvers         729        7979       8          142        10.95
fluid_carvers       729        18         0          0          0.02
decoration          625        76760      76         363        122.82
mob_spawns          529        161        0          72         0.30
structure_searches  0          0          0          0          0.00
Sum                                                             138.76
