Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    4798       7686       0          2893       1.60
structure_refs      2046       407        0          3          0.20
biomes              2046       3385       0          353        1.65
terrain             2046       3231       0          34         1.58
surface             2046       1668       0          30         0.82
air_carvers         2046       11548      2          92         5.64
fluid_carvers       2042       38         0          0          0.02
decoration          1766       216586     12         370        122.64
mob_spawns          1504       137        0          24         0.09
structure_searches  0          0          0          0          0.00
Sum                                                             134.25
