Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    872        2745       0          2436       3.15
structure_refs      396        78         0          2          0.20
biomes              396        2736       0          310        6.91
terrain             395        523        0          5          1.32
surface             395        201        0          1          0.51
air_carvers         395        2279       3          89         5.77
fluid_carvers       395        7          0          0          0.02
decoration          329        33852      38         397        102.89
mob_spawns          256        8          0          0          0.03
structure_searches  0          0          0          0          0.00
Sum                                                             120.80
