Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3067       4611       0          3428       1.50
structure_refs      1151       266        0          17         0.23
biomes              1151       5151       0          606        4.48
terrain             1151       1895       0          67         1.65
surface             1148       892        0          66         0.78
air_carvers         1147       8905       4          319        7.76
fluid_carvers       1145       36         0          0          0.03
decoration          917        55697      20         428        60.74
mob_spawns          705        104        0          26         0.15
structure_searches  0          0          0          0          0.00
Sum                                                             77.31
