Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2314       5438       0          2459       2.35
structure_refs      560        101        0          4          0.18
biomes              560        2185       0          277        3.90
terrain             560        843        0          9          1.51
surface             560        311        0          1          0.56
air_carvers         560        3839       2          87         6.86
fluid_carvers       560        8          0          0          0.01
decoration          380        29812      24         255        78.45
mob_spawns          224        20         0          5          0.09
structure_searches  0          0          0          0          0.00
Sum                                                             93.90
