Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1205       3689       0          3399       3.06
structure_refs      167        58         0          5          0.35
biomes              167        692        0          373        4.14
terrain             167        321        0          32         1.92
surface             167        360        0          88         2.16
air_carvers         167        1616       2          179        9.68
fluid_carvers       167        11         0          1          0.07
decoration          79         7468       34         288        94.53
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             115.90
