Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        3250       0          3121       6.90
structure_refs      69         34         0          3          0.49
biomes              69         481        0          463        6.97
terrain             69         180        0          24         2.61
surface             69         99         0          22         1.43
air_carvers         69         1020       9          111        14.78
fluid_carvers       69         6          0          0          0.09
decoration          33         3284       59         282        99.52
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             132.79
