Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1043       3619       0          3310       3.47
structure_refs      148        43         0          3          0.29
biomes              148        698        0          674        4.72
terrain             148        522        0          66         3.53
surface             148        350        0          41         2.36
air_carvers         148        2316       8          124        15.65
fluid_carvers       148        10         0          0          0.07
decoration          70         6281       46         271        89.73
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             119.81
