Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2316       3216       0          2835       1.39
structure_refs      426        84         0          0          0.20
biomes              426        2886       0          347        6.77
terrain             424        650        0          36         1.53
surface             413        221        0          2          0.54
air_carvers         413        2531       3          59         6.13
fluid_carvers       413        5          0          0          0.01
decoration          243        18497      19         187        76.12
mob_spawns          93         3          0          0          0.03
structure_searches  0          0          0          0          0.00
Sum                                                             92.72
