Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2851       4600       0          3375       1.61
structure_refs      1741       377        0          40         0.22
biomes              1741       13325      0          523        7.65
terrain             1741       2428       0          37         1.39
surface             1741       1042       0          15         0.60
air_carvers         1741       21479      8          101        12.34
fluid_carvers       1741       48         0          0          0.03
decoration          1595       162424     43         336        101.83
mob_spawns          1434       89         0          4          0.06
structure_searches  0          0          0          0          0.00
Sum                                                             125.74
