Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1873       4423       0          2634       2.36
structure_refs      729        142        0          2          0.19
biomes              729        380        0          337        0.52
terrain             729        857        0          27         1.18
surface             729        472        0          44         0.65
air_carvers         729        4792       4          119        6.57
fluid_carvers       729        18         0          0          0.02
decoration          625        37246      25         265        59.59
mob_spawns          529        118        0          16         0.22
structure_searches  0          0          0          0          0.00
Sum                                                             71.32
