Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    896        3595       0          3119       4.01
structure_refs      347        102        0          12         0.29
biomes              347        3644       0          662        10.50
terrain             347        793        0          40         2.29
surface             347        371        0          49         1.07
air_carvers         347        2590       3          132        7.46
fluid_carvers       347        22         0          0          0.06
decoration          254        28757      43         337        113.22
mob_spawns          171        32         0          18         0.19
structure_searches  0          0          0          0          0.00
Sum                                                             139.09
