Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1906       4413       0          3370       2.32
structure_refs      290        102        0          9          0.35
biomes              290        889        0          271        3.07
terrain             290        463        0          38         1.60
surface             290        218        0          28         0.75
air_carvers         290        1998       2          243        6.89
fluid_carvers       290        14         0          0          0.05
decoration          160        10777      15         262        67.36
mob_spawns          45         3          0          1          0.07
structure_searches  0          0          0          0          0.00
Sum                                                             82.44
