Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    4272       8541       0          2703       2.00
structure_refs      1759       359        0          9          0.20
biomes              1756       4313       0          441        2.46
terrain             1754       2449       0          27         1.40
surface             1754       1069       0          46         0.61
air_carvers         1754       16511      2          91         9.41
fluid_carvers       1751       34         0          0          0.02
decoration          1512       126981     27         1294       83.98
mob_spawns          1288       230        0          68         0.18
structure_searches  0          0          0          0          0.00
Sum                                                             100.26
