Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1937       5997       0          2774       3.10
structure_refs      729        179        0          34         0.25
biomes              729        58         0          3          0.08
terrain             729        873        0          27         1.20
surface             729        465        0          31         0.64
air_carvers         729        3747       3          104        5.14
fluid_carvers       729        17         0          0          0.02
decoration          625        53038      44         365        84.86
mob_spawns          529        166        0          49         0.31
structure_searches  0          0          0          0          0.00
Sum                                                             95.59
