Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2323       4462       0          2848       1.92
structure_refs      771        199        0          16         0.26
biomes              771        970        0          286        1.26
terrain             771        1161       0          38         1.51
surface             771        604        0          32         0.78
air_carvers         771        5224       3          98         6.78
fluid_carvers       771        20         0          0          0.03
decoration          649        63142      29         245        97.29
mob_spawns          542        141        0          63         0.26
structure_searches  0          0          0          0          0.00
Sum                                                             110.08
